Reference,Authors,Year,Citations
arXiv:2312.11649,2,Y2023,1
arXiv:2312.04980,3,Y2023,1
arXiv:2311.17991,3,Y2023,4
arXiv:2310.12512,4,Y2023,1
arXiv:2308.06946,4,Y2023,1
arXiv:2306.00358,2,Y2023,2
arXiv:2301.09679,1,Y2023,0
arXiv:2201.08791,5,Y2022,8
arXiv:2201.03097,3,Y2022,11
arXiv:2201.01789,1,Y2022,5
EurPhysJST232-2023,1,Y2023,1 
arXiv:2111.02410,1,Y2021,6
arXiv:2109.01001,4,Y2021,5
arXiv:2105.08066,4,Y2021,14
arXiv:2010.00026,5,Y2020,18
arXiv:2006.15359,2,Y2020,20
arXiv:2004.06314,1,Y2020,14
arXiv:2003.00341,1,Y2020,1
arXiv:2003.01298,3,Y2020,11
arXiv:1901.11443,4,Y2019,52
arXiv:1810.09946,3,Y2018,13
arXiv:1809.00797,1,Y2018,4
arXiv:1808.04735,3,Y2018,3
EPJWebConf175-2018,3,Y2018,3
arXiv:1801.00012,3,Y2018,16
arXiv:1710.06398,4,Y2017,14
arXiv:1709.07025,4,Y2017,47
